input,output,original_input,original_output,category_name,operations,spaced
p o r t u g a l,L A G U T R O P,portugal,LAGUTROP,upper_reverse,uppercase+reverse,True
q a t a r,R A T A Q,qatar,RATAQ,upper_reverse,uppercase+reverse,True
r o m a n i a,A I N A M O R,romania,AINAMOR,upper_reverse,uppercase+reverse,True
r u s s i a,A I S S U R,russia,AISSUR,upper_reverse,uppercase+reverse,True
r w a n d a,A D N A W R,rwanda,ADNAWR,upper_reverse,uppercase+reverse,True
s a m o a,A O M A S,samoa,AOMAS,upper_reverse,uppercase+reverse,True
s e n e g a l,L A G E N E S,senegal,LAGENES,upper_reverse,uppercase+reverse,True
s e r b i a,A I B R E S,serbia,AIBRES,upper_reverse,uppercase+reverse,True
s e y c h e l l e s,S E L L E H C Y E S,seychelles,SELLEHCYES,upper_reverse,uppercase+reverse,True
s i n g a p o r e,E R O P A G N I S,singapore,EROPAGNIS,upper_reverse,uppercase+reverse,True
s l o v a k i a,A I K A V O L S,slovakia,AIKAVOLS,upper_reverse,uppercase+reverse,True
s l o v e n i a,A I N E V O L S,slovenia,AINEVOLS,upper_reverse,uppercase+reverse,True
s o m a l i a,A I L A M O S,somalia,AILAMOS,upper_reverse,uppercase+reverse,True
s p a i n,N I A P S,spain,NIAPS,upper_reverse,uppercase+reverse,True
s u d a n,N A D U S,sudan,NADUS,upper_reverse,uppercase+reverse,True
s u r i n a m e,E M A N I R U S,suriname,EMANIRUS,upper_reverse,uppercase+reverse,True
s w e d e n,N E D E W S,sweden,NEDEWS,upper_reverse,uppercase+reverse,True
s w i t z e r l a n d,D N A L R E Z T I W S,switzerland,DNALREZTIWS,upper_reverse,uppercase+reverse,True
s y r i a,A I R Y S,syria,AIRYS,upper_reverse,uppercase+reverse,True
t a i w a n,N A W I A T,taiwan,NAWIAT,upper_reverse,uppercase+reverse,True
t a j i k i s t a n,N A T S I K I J A T,tajikistan,NATSIKIJAT,upper_reverse,uppercase+reverse,True
t a n z a n i a,A I N A Z N A T,tanzania,AINAZNAT,upper_reverse,uppercase+reverse,True
t h a i l a n d,D N A L I A H T,thailand,DNALIAHT,upper_reverse,uppercase+reverse,True
t o g o,O G O T,togo,OGOT,upper_reverse,uppercase+reverse,True
t o n g a,A G N O T,tonga,AGNOT,upper_reverse,uppercase+reverse,True
t u n i s i a,A I S I N U T,tunisia,AISINUT,upper_reverse,uppercase+reverse,True
t u r k e y,Y E K R U T,turkey,YEKRUT,upper_reverse,uppercase+reverse,True
t u r k m e n i s t a n,N A T S I N E M K R U T,turkmenistan,NATSINEMKRUT,upper_reverse,uppercase+reverse,True
t u v a l u,U L A V U T,tuvalu,ULAVUT,upper_reverse,uppercase+reverse,True
u a e,E A U,uae,EAU,upper_reverse,uppercase+reverse,True
u g a n d a,A D N A G U,uganda,ADNAGU,upper_reverse,uppercase+reverse,True
u k r a i n e,E N I A R K U,ukraine,ENIARKU,upper_reverse,uppercase+reverse,True
u r u g u a y,Y A U G U R U,uruguay,YAUGURU,upper_reverse,uppercase+reverse,True
u z b e k i s t a n,N A T S I K E B Z U,uzbekistan,NATSIKEBZU,upper_reverse,uppercase+reverse,True
v a n u a t u,U T A U N A V,vanuatu,UTAUNAV,upper_reverse,uppercase+reverse,True
v e n e z u e l a,A L E U Z E N E V,venezuela,ALEUZENEV,upper_reverse,uppercase+reverse,True
v i e t n a m,M A N T E I V,vietnam,MANTEIV,upper_reverse,uppercase+reverse,True
y e m e n,N E M E Y,yemen,NEMEY,upper_reverse,uppercase+reverse,True
z a m b i a,A I B M A Z,zambia,AIBMAZ,upper_reverse,uppercase+reverse,True
z i m b a b w e,E W B A B M I Z,zimbabwe,EWBABMIZ,upper_reverse,uppercase+reverse,True
a b a j o,O J A B A,abajo,OJABA,upper_reverse,uppercase+reverse,True
a b i e r t o,O T R E I B A,abierto,OTREIBA,upper_reverse,uppercase+reverse,True
a b o g a d o,O D A G O B A,abogado,ODAGOBA,upper_reverse,uppercase+reverse,True
a b u e l a,A L E U B A,abuela,ALEUBA,upper_reverse,uppercase+reverse,True
a b u e l o,O L E U B A,abuelo,OLEUBA,upper_reverse,uppercase+reverse,True
a c c e l e r a t e,E T A R E L E C C A,accelerate,ETARELECCA,upper_reverse,uppercase+reverse,True
a c h i e v e,E V E I H C A,achieve,EVEIHCA,upper_reverse,uppercase+reverse,True
a c t i v a t e,E T A V I T C A,activate,ETAVITCA,upper_reverse,uppercase+reverse,True
a c t o r,R O T C A,actor,ROTCA,upper_reverse,uppercase+reverse,True
a c t r e s s,S S E R T C A,actress,SSERTCA,upper_reverse,uppercase+reverse,True
a d i ó s,S Ó I D A,adiós,SÓIDA,upper_reverse,uppercase+reverse,True
a d v e r t i s e,E S I T R E V D A,advertise,ESITREVDA,upper_reverse,uppercase+reverse,True
a g u a,A U G A,agua,AUGA,upper_reverse,uppercase+reverse,True
a l t o,O T L A,alto,OTLA,upper_reverse,uppercase+reverse,True
a m a r i l l o,O L L I R A M A,amarillo,OLLIRAMA,upper_reverse,uppercase+reverse,True
a m i,I M A,ami,IMA,upper_reverse,uppercase+reverse,True
a m i g o,O G I M A,amigo,OGIMA,upper_reverse,uppercase+reverse,True
a n,N A,an,NA,upper_reverse,uppercase+reverse,True
a n a l y s i s,S I S Y L A N A,analysis,SISYLANA,upper_reverse,uppercase+reverse,True
a n c h o,O H C N A,ancho,OHCNA,upper_reverse,uppercase+reverse,True
a n t i c i p a t e,E T A P I C I T N A,anticipate,ETAPICITNA,upper_reverse,uppercase+reverse,True
a p o l o g i z e,E Z I G O L O P A,apologize,EZIGOLOPA,upper_reverse,uppercase+reverse,True
a p p l e,E L P P A,apple,ELPPA,upper_reverse,uppercase+reverse,True
a p p r e c i a t e,E T A I C E R P P A,appreciate,ETAICERPPA,upper_reverse,uppercase+reverse,True
a r b r e,E R B R A,arbre,ERBRA,upper_reverse,uppercase+reverse,True
a r g u e,E U G R A,argue,EUGRA,upper_reverse,uppercase+reverse,True
a r m,M R A,arm,MRA,upper_reverse,uppercase+reverse,True
a r r i b a,A B I R R A,arriba,ABIRRA,upper_reverse,uppercase+reverse,True
a r r i v e,E V I R R A,arrive,EVIRRA,upper_reverse,uppercase+reverse,True
a r t e r y,Y R E T R A,artery,YRETRA,upper_reverse,uppercase+reverse,True
a r t i s t,T S I T R A,artist,TSITRA,upper_reverse,uppercase+reverse,True
a r t i s t a,A T S I T R A,artista,ATSITRA,upper_reverse,uppercase+reverse,True
a r t i s t e,E T S I T R A,artiste,ETSITRA,upper_reverse,uppercase+reverse,True
a t r á s,S Á R T A,atrás,SÁRTA,upper_reverse,uppercase+reverse,True
a u n t,T N U A,aunt,TNUA,upper_reverse,uppercase+reverse,True
a v o c a t,T A C O V A,avocat,TACOVA,upper_reverse,uppercase+reverse,True
a x i s,S I X A,axis,SIXA,upper_reverse,uppercase+reverse,True
a y e r,R E Y A,ayer,REYA,upper_reverse,uppercase+reverse,True
a z u l,L U Z A,azul,LUZA,upper_reverse,uppercase+reverse,True
a z ú c a r,R A C Ú Z A,azúcar,RACÚZA,upper_reverse,uppercase+reverse,True
a ñ o,O Ñ A,año,OÑA,upper_reverse,uppercase+reverse,True
b a b y,Y B A B,baby,YBAB,upper_reverse,uppercase+reverse,True
b a c k,K C A B,back,KCAB,upper_reverse,uppercase+reverse,True
b a d,D A B,bad,DAB,upper_reverse,uppercase+reverse,True
b a i l e,E L I A B,baile,ELIAB,upper_reverse,uppercase+reverse,True
b a j o,O J A B,bajo,OJAB,upper_reverse,uppercase+reverse,True
b a k e,E K A B,bake,EKAB,upper_reverse,uppercase+reverse,True
b a k e r,R E K A B,baker,REKAB,upper_reverse,uppercase+reverse,True
b a l l,L L A B,ball,LLAB,upper_reverse,uppercase+reverse,True
b a l l e,E L L A B,balle,ELLAB,upper_reverse,uppercase+reverse,True
b a n a n a,A N A N A B,banana,ANANAB,upper_reverse,uppercase+reverse,True
b a s,S A B,bas,SAB,upper_reverse,uppercase+reverse,True
b a s i s,S I S A B,basis,SISAB,upper_reverse,uppercase+reverse,True
b a y,Y A B,bay,YAB,upper_reverse,uppercase+reverse,True
b e a c h,H C A E B,beach,HCAEB,upper_reverse,uppercase+reverse,True
b e a u,U A E B,beau,UAEB,upper_reverse,uppercase+reverse,True
b e a u t i f u l,L U F I T U A E B,beautiful,LUFITUAEB,upper_reverse,uppercase+reverse,True
b e b é,É B E B,bebé,ÉBEB,upper_reverse,uppercase+reverse,True
b e g i n,N I G E B,begin,NIGEB,upper_reverse,uppercase+reverse,True
b e l i e f,F E I L E B,belief,FEILEB,upper_reverse,uppercase+reverse,True
b e l i e v e,E V E I L E B,believe,EVEILEB,upper_reverse,uppercase+reverse,True
b e n d,D N E B,bend,DNEB,upper_reverse,uppercase+reverse,True
b e r r y,Y R R E B,berry,YRREB,upper_reverse,uppercase+reverse,True
b i g,G I B,big,GIB,upper_reverse,uppercase+reverse,True
b i k e,E K I B,bike,EKIB,upper_reverse,uppercase+reverse,True
b i r d,D R I B,bird,DRIB,upper_reverse,uppercase+reverse,True
b l a c k,K C A L B,black,KCALB,upper_reverse,uppercase+reverse,True
b l a n c,C N A L B,blanc,CNALB,upper_reverse,uppercase+reverse,True
b l a n c o,O C N A L B,blanco,OCNALB,upper_reverse,uppercase+reverse,True
b l e u,U E L B,bleu,UELB,upper_reverse,uppercase+reverse,True
b l u e,E U L B,blue,EULB,upper_reverse,uppercase+reverse,True
b o c a,A C O B,boca,ACOB,upper_reverse,uppercase+reverse,True
b o d y,Y D O B,body,YDOB,upper_reverse,uppercase+reverse,True
b o n,N O B,bon,NOB,upper_reverse,uppercase+reverse,True
b o n e,E N O B,bone,ENOB,upper_reverse,uppercase+reverse,True
b o n j o u r,R U O J N O B,bonjour,RUOJNOB,upper_reverse,uppercase+reverse,True
b o n s o i r,R I O S N O B,bonsoir,RIOSNOB,upper_reverse,uppercase+reverse,True
b o o k,K O O B,book,KOOB,upper_reverse,uppercase+reverse,True
b o u c h e,E H C U O B,bouche,EHCUOB,upper_reverse,uppercase+reverse,True
b o x,X O B,box,XOB,upper_reverse,uppercase+reverse,True
b o y,Y O B,boy,YOB,upper_reverse,uppercase+reverse,True
b r a i n,N I A R B,brain,NIARB,upper_reverse,uppercase+reverse,True
b r e a d,D A E R B,bread,DAERB,upper_reverse,uppercase+reverse,True
b r o t h e r,R E H T O R B,brother,REHTORB,upper_reverse,uppercase+reverse,True
b r o w n,N W O R B,brown,NWORB,upper_reverse,uppercase+reverse,True
b r u s h,H S U R B,brush,HSURB,upper_reverse,uppercase+reverse,True
b u e n o,O N E U B,bueno,ONEUB,upper_reverse,uppercase+reverse,True
b u i l d,D L I U B,build,DLIUB,upper_reverse,uppercase+reverse,True
b u i l d e r,R E D L I U B,builder,REDLIUB,upper_reverse,uppercase+reverse,True
b u s,S U B,bus,SUB,upper_reverse,uppercase+reverse,True
b u t c h e r,R E H C T U B,butcher,REHCTUB,upper_reverse,uppercase+reverse,True
b u t t e r f l y,Y L F R E T T U B,butterfly,YLFRETTUB,upper_reverse,uppercase+reverse,True
b é b é,É B É B,bébé,ÉBÉB,upper_reverse,uppercase+reverse,True
c a b a l l o,O L L A B A C,caballo,OLLABAC,upper_reverse,uppercase+reverse,True
c a b e z a,A Z E B A C,cabeza,AZEBAC,upper_reverse,uppercase+reverse,True
c a f é,É F A C,café,ÉFAC,upper_reverse,uppercase+reverse,True
c a l c u l a t e,E T A L U C L A C,calculate,ETALUCLAC,upper_reverse,uppercase+reverse,True
c a l f,F L A C,calf,FLAC,upper_reverse,uppercase+reverse,True
c a l i e n t e,E T N E I L A C,caliente,ETNEILAC,upper_reverse,uppercase+reverse,True
c a l l e,E L L A C,calle,ELLAC,upper_reverse,uppercase+reverse,True
c a m p,P M A C,camp,PMAC,upper_reverse,uppercase+reverse,True
c a n c i ó n,N Ó I C N A C,canción,NÓICNAC,upper_reverse,uppercase+reverse,True
c a n t a n t e,E T N A T N A C,cantante,ETNATNAC,upper_reverse,uppercase+reverse,True
c a r,R A C,car,RAC,upper_reverse,uppercase+reverse,True
c a r e,E R A C,care,ERAC,upper_reverse,uppercase+reverse,True
c a r g o,O G R A C,cargo,OGRAC,upper_reverse,uppercase+reverse,True
c a r r y,Y R R A C,carry,YRRAC,upper_reverse,uppercase+reverse,True
c a r t a,A T R A C,carta,ATRAC,upper_reverse,uppercase+reverse,True
c a s a,A S A C,casa,ASAC,upper_reverse,uppercase+reverse,True
c a t,T A C,cat,TAC,upper_reverse,uppercase+reverse,True
c a t c h,H C T A C,catch,HCTAC,upper_reverse,uppercase+reverse,True
c e l e b r a t e,E T A R B E L E C,celebrate,ETARBELEC,upper_reverse,uppercase+reverse,True
c e n t,T N E C,cent,TNEC,upper_reverse,uppercase+reverse,True
c e r c a,A C R E C,cerca,ACREC,upper_reverse,uppercase+reverse,True
c e r e b r o,O R B E R E C,cerebro,ORBEREC,upper_reverse,uppercase+reverse,True
c e r r a d o,O D A R R E C,cerrado,ODARREC,upper_reverse,uppercase+reverse,True
c e r v e a u,U A E V R E C,cerveau,UAEVREC,upper_reverse,uppercase+reverse,True
c h a i r,R I A H C,chair,RIAHC,upper_reverse,uppercase+reverse,True
c h a i s e,E S I A H C,chaise,ESIAHC,upper_reverse,uppercase+reverse,True
c h a n g e,E G N A H C,change,EGNAHC,upper_reverse,uppercase+reverse,True
c h a n s o n,N O S N A H C,chanson,NOSNAHC,upper_reverse,uppercase+reverse,True
c h a t,T A H C,chat,TAHC,upper_reverse,uppercase+reverse,True
c h a u d,D U A H C,chaud,DUAHC,upper_reverse,uppercase+reverse,True
c h e e s e,E S E E H C,cheese,ESEEHC,upper_reverse,uppercase+reverse,True
c h e f,F E H C,chef,FEHC,upper_reverse,uppercase+reverse,True
c h e v a l,L A V E H C,cheval,LAVEHC,upper_reverse,uppercase+reverse,True
c h i e f,F E I H C,chief,FEIHC,upper_reverse,uppercase+reverse,True
c h i e n,N E I H C,chien,NEIHC,upper_reverse,uppercase+reverse,True
c h i l d,D L I H C,child,DLIHC,upper_reverse,uppercase+reverse,True
c h u r c h,H C R U H C,church,HCRUHC,upper_reverse,uppercase+reverse,True
c i e n,N E I C,cien,NEIC,upper_reverse,uppercase+reverse,True
c i n c o,O C N I C,cinco,OCNIC,upper_reverse,uppercase+reverse,True
c i n q,Q N I C,cinq,QNIC,upper_reverse,uppercase+reverse,True
c i t y,Y T I C,city,YTIC,upper_reverse,uppercase+reverse,True
c i u d a d,D A D U I C,ciudad,DADUIC,upper_reverse,uppercase+reverse,True
c l a s s,S S A L C,class,SSALC,upper_reverse,uppercase+reverse,True
c l e a n,N A E L C,clean,NAELC,upper_reverse,uppercase+reverse,True
c l e r k,K R E L C,clerk,KRELC,upper_reverse,uppercase+reverse,True
c l i f f,F F I L C,cliff,FFILC,upper_reverse,uppercase+reverse,True
c l i m b,B M I L C,climb,BMILC,upper_reverse,uppercase+reverse,True
c l o s e,E S O L C,close,ESOLC,upper_reverse,uppercase+reverse,True
c l o s e d,D E S O L C,closed,DESOLC,upper_reverse,uppercase+reverse,True
c o c h e,E H C O C,coche,EHCOC,upper_reverse,uppercase+reverse,True
c o f f e e,E E F F O C,coffee,EEFFOC,upper_reverse,uppercase+reverse,True
c o l d,D L O C,cold,DLOC,upper_reverse,uppercase+reverse,True
c o m e,E M O C,come,EMOC,upper_reverse,uppercase+reverse,True
c o m i d a,A D I M O C,comida,ADIMOC,upper_reverse,uppercase+reverse,True
c o m m u n i c a t e,E T A C I N U M M O C,communicate,ETACINUMMOC,upper_reverse,uppercase+reverse,True
c o m p e t e,E T E P M O C,compete,ETEPMOC,upper_reverse,uppercase+reverse,True
c o m p l e t e,E T E L P M O C,complete,ETELPMOC,upper_reverse,uppercase+reverse,True
c o m p u t e r,R E T U P M O C,computer,RETUPMOC,upper_reverse,uppercase+reverse,True
c o n c e n t r a t e,E T A R T N E C N O C,concentrate,ETARTNECNOC,upper_reverse,uppercase+reverse,True
c o n t e m p l a t e,E T A L P M E T N O C,contemplate,ETALPMETNOC,upper_reverse,uppercase+reverse,True
c o n t i n u e,E U N I T N O C,continue,EUNITNOC,upper_reverse,uppercase+reverse,True
c o o k,K O O C,cook,KOOC,upper_reverse,uppercase+reverse,True
c o o p e r a t e,E T A R E P O O C,cooperate,ETAREPOOC,upper_reverse,uppercase+reverse,True
c o o r d i n a t e,E T A N I D R O O C,coordinate,ETANIDROOC,upper_reverse,uppercase+reverse,True
c o r a z ó n,N Ó Z A R O C,corazón,NÓZAROC,upper_reverse,uppercase+reverse,True
c o r p s,S P R O C,corps,SPROC,upper_reverse,uppercase+reverse,True
c o r t o,O T R O C,corto,OTROC,upper_reverse,uppercase+reverse,True
