index,category_name,question,answer
91,first_letter,vibrant colors everywhere around,v
92,first_letter,old stories being retold,o
93,first_letter,graceful dancers on stage,g
94,first_letter,fearless explorers finding treasure,f
95,first_letter,interesting books on shelf,i
96,first_letter,knowledge gained through reading,k
97,first_letter,huge waves crashing ashore,h
98,first_letter,xerox machine making copies,x
99,first_letter,zealous students studying hard,z
100,first_letter,natural beauty surrounds us,n
101,first_letter,unique experiences shape us,u
102,first_letter,joyous occasions bring happiness,j
103,first_letter,traveling to distant lands,t
104,first_letter,eating fresh strawberries daily,e
105,first_letter,building sandcastles at beach,b
106,first_letter,reading novels by fireplace,r
107,first_letter,admiring beautiful sunset views,a
108,first_letter,questioning everything around us,q
109,first_letter,writing stories late night,w
110,first_letter,studying mathematics very carefully,s
111,first_letter,learning new languages quickly,l
112,first_letter,drawing pictures with crayons,d
113,first_letter,playing guitar on weekends,p
114,first_letter,visiting museums and galleries,v
115,first_letter,making friends wherever going,m
116,first_letter,collecting stamps from countries,c
117,first_letter,organizing special birthday parties,o
118,first_letter,finding treasures in attic,f
119,first_letter,growing vegetables in garden,g
120,first_letter,keeping diaries of adventures,k
121,first_letter,jumping rope with children,j
122,first_letter,helping neighbors with tasks,h
123,first_letter,inventing clever new solutions,i
124,first_letter,xeroxing important documents carefully,x
125,first_letter,zipping through busy streets,z
126,first_letter,negotiating deals with partners,n
127,first_letter,understanding complex mathematical concepts,u
128,first_letter,joining clubs at university,j
129,first_letter,yelling across the field,y
130,first_letter,teaching children important lessons,t
131,first_letter,exploring deep ocean depths,e
132,first_letter,questioning authority respectfully always,q
133,first_letter,brilliant minds thinking alike,b
134,first_letter,racing against time limits,r
135,first_letter,achieving goals through effort,a
136,first_letter,dreaming big every day,d
137,first_letter,winning competitions with skill,w
138,first_letter,singing songs from heart,s
139,first_letter,loving nature and wildlife,l
140,first_letter,performing magic tricks successfully,p
141,first_letter,caring for elderly neighbors,c
142,first_letter,volunteering at local shelter,v
143,first_letter,mysterious shadows moving slowly,m
144,first_letter,powerful engine roaring loudly,p
145,first_letter,colorful butterflies flying gracefully,c
146,first_letter,golden sunrise breaking dawn,g
147,first_letter,frozen lake covered completely,f
148,first_letter,towering mountains reaching skyward,t
149,first_letter,sparkling diamonds shining bright,s
150,first_letter,peaceful meadow stretching endlessly,p
151,first_letter,rushing river flowing fast,r
152,first_letter,brilliant stars twinkling above,b
153,first_letter,gentle rain falling softly,g
154,first_letter,heavy snow blanketing ground,h
155,first_letter,warm breeze blowing gently,w
156,first_letter,loud thunder rumbling overhead,l
157,first_letter,bright lightning striking suddenly,b
158,first_letter,thick fog rolling inland,t
159,first_letter,clear sky stretching forever,c
160,first_letter,dark clouds gathering quickly,d
161,first_letter,white sand sparkling beautifully,w
162,first_letter,deep ocean hiding secrets,d
163,first_letter,tall grass swaying rhythmically,t
164,first_letter,wild horses running free,w
165,first_letter,small birds chirping happily,s
166,first_letter,big bears catching fish,b
167,first_letter,clever foxes hunting prey,c
168,first_letter,wise owls watching silently,w
169,first_letter,playful dolphins jumping high,p
170,first_letter,majestic eagles soaring overhead,m
171,first_letter,colorful parrots talking loudly,c
172,first_letter,tiny insects buzzing around,t
173,first_letter,slithering snakes moving quietly,s
174,first_letter,hopping rabbits eating carrots,h
175,first_letter,swimming turtles moving slowly,s
176,first_letter,climbing monkeys swinging branches,c
177,first_letter,roaring lions hunting tonight,r
178,first_letter,striped zebras grazing peacefully,s
179,first_letter,spotted leopards stalking silently,s
180,first_letter,giant elephants walking majestically,g
181,first_letter,graceful deer leaping bounds,g
182,first_letter,mighty whales swimming deep,m
183,first_letter,flying bats hunting insects,f
184,first_letter,crawling ants working together,c
185,first_letter,buzzing bees making honey,b
186,first_letter,spinning spiders weaving webs,s
187,first_letter,jumping frogs catching flies,j
188,first_letter,sliding penguins on ice,s
189,first_letter,waddling ducks crossing road,w
190,first_letter,pecking chickens finding food,p
191,first_letter,crowing roosters greeting morning,c
192,first_letter,bleating sheep in field,b
193,first_letter,mooing cows giving milk,m
194,first_letter,neighing horses pulling carts,n
195,first_letter,barking dogs guarding homes,b
196,first_letter,meowing cats chasing mice,m
197,first_letter,purring kittens sleeping soundly,p
198,first_letter,squeaking hamsters running wheels,s
199,first_letter,chirping crickets at night,c
200,first_letter,croaking frogs by pond,c
201,first_letter,howling wolves under moon,h
202,first_letter,screeching monkeys in jungle,s
203,first_letter,trumpeting elephants warning herd,t
204,first_letter,hissing snakes defending territory,h
205,first_letter,growling bears protecting cubs,g
206,first_letter,squealing pigs eating food,s
207,first_letter,gobbling turkeys strutting proudly,g
208,first_letter,quacking ducks swimming pond,q
209,first_letter,honking geese flying south,h
210,first_letter,cooing pigeons on rooftop,c
211,first_letter,singing canaries in cage,s
212,first_letter,talking parrots repeating words,t
213,first_letter,flapping wings taking flight,f
214,first_letter,nesting birds building homes,n
215,first_letter,hatching eggs revealing chicks,h
216,first_letter,feeding babies opening mouths,f
217,first_letter,hunting predators stalking carefully,h
218,first_letter,escaping prey running frantically,e
219,first_letter,hiding animals staying still,h
220,first_letter,sleeping creatures resting peacefully,s
221,first_letter,waking animals greeting day,w
222,first_letter,stretching muscles after sleep,s
223,first_letter,yawning mouths showing tired,y
224,first_letter,blinking eyes adjusting light,b
225,first_letter,breathing air filling lungs,b
226,first_letter,beating hearts pumping blood,b
227,first_letter,thinking minds solving problems,t
228,first_letter,feeling emotions deeply inside,f
229,first_letter,remembering moments from past,r
230,first_letter,forgetting details over time,f
231,first_letter,learning lessons through experience,l
232,first_letter,teaching others valuable skills,t
233,first_letter,sharing knowledge with everyone,s
234,first_letter,discovering truths about life,d
235,first_letter,questioning assumptions we hold,q
236,first_letter,believing strongly in values,b
237,first_letter,doubting everything we know,d
238,first_letter,hoping for better tomorrow,h
239,first_letter,wishing upon shooting stars,w
240,first_letter,dreaming vividly at night,d
241,first_letter,imagining possibilities ahead,i
242,first_letter,creating art from nothing,c
243,translate_eng_fr,hello,bonjour
244,translate_eng_fr,goodbye,au revoir
245,translate_eng_fr,thank you,merci
246,translate_eng_fr,please,s'il vous plaît
247,translate_eng_fr,yes,oui
248,translate_eng_fr,no,non
249,translate_eng_fr,water,eau
250,translate_eng_fr,house,maison
251,translate_eng_fr,cat,chat
252,translate_eng_fr,dog,chien
253,translate_eng_fr,good morning,bonjour
254,translate_eng_fr,good evening,bonsoir
255,translate_eng_fr,good night,bonne nuit
256,translate_eng_fr,how are you,comment allez-vous
257,translate_eng_fr,I love you,je t'aime
258,translate_eng_fr,friend,ami
259,translate_eng_fr,family,famille
260,translate_eng_fr,food,nourriture
261,translate_eng_fr,book,livre
262,translate_eng_fr,car,voiture
263,translate_eng_fr,tree,arbre
264,translate_eng_fr,flower,fleur
265,translate_eng_fr,sun,soleil
266,translate_eng_fr,moon,lune
267,translate_eng_fr,star,étoile
268,translate_eng_fr,bread,pain
269,translate_eng_fr,cheese,fromage
270,translate_eng_fr,wine,vin
271,translate_eng_fr,coffee,café
272,translate_eng_fr,tea,thé
273,translate_eng_fr,milk,lait
274,translate_eng_fr,sugar,sucre
275,translate_eng_fr,salt,sel
276,translate_eng_fr,pepper,poivre
277,translate_eng_fr,table,table
278,translate_eng_fr,chair,chaise
279,translate_eng_fr,door,porte
280,translate_eng_fr,window,fenêtre
281,translate_eng_fr,street,rue
282,translate_eng_fr,city,ville
283,translate_eng_fr,country,pays
284,translate_eng_fr,world,monde
285,translate_eng_fr,time,temps
286,translate_eng_fr,day,jour
287,translate_eng_fr,night,nuit
288,translate_eng_fr,week,semaine
289,translate_eng_fr,month,mois
290,translate_eng_fr,year,an
291,translate_eng_fr,today,aujourd'hui
292,translate_eng_fr,tomorrow,demain
293,translate_eng_fr,yesterday,hier
294,translate_eng_fr,school,école
295,translate_eng_fr,student,étudiant
296,translate_eng_fr,teacher,professeur
297,translate_eng_fr,horse,cheval
298,translate_eng_fr,letter,lettre
299,translate_eng_fr,word,mot
300,translate_eng_fr,sentence,phrase
301,translate_eng_fr,page,page
302,translate_eng_fr,music,musique
303,translate_eng_fr,song,chanson
304,translate_eng_fr,game,jeu
305,translate_eng_fr,sport,sport
306,translate_eng_fr,ball,balle
307,translate_eng_fr,hand,main
308,translate_eng_fr,head,tête
309,translate_eng_fr,eye,œil
310,translate_eng_fr,ear,oreille
311,translate_eng_fr,nose,nez
312,translate_eng_fr,mouth,bouche
313,translate_eng_fr,heart,cœur
314,translate_eng_fr,brain,cerveau
315,translate_eng_fr,body,corps
316,translate_eng_fr,red,rouge
317,translate_eng_fr,blue,bleu
318,translate_eng_fr,green,vert
319,translate_eng_fr,yellow,jaune
320,translate_eng_fr,black,noir
321,translate_eng_fr,white,blanc
322,translate_eng_fr,purple,violet
323,translate_eng_fr,pink,rose
324,translate_eng_fr,gray,gris
325,translate_eng_fr,brown,marron
326,translate_eng_fr,big,grand
327,translate_eng_fr,small,petit
328,translate_eng_fr,hot,chaud
329,translate_eng_fr,cold,froid
330,translate_eng_fr,new,nouveau
331,translate_eng_fr,old,vieux
332,translate_eng_fr,good,bon
333,translate_eng_fr,bad,mauvais
334,translate_eng_fr,happy,heureux
335,translate_eng_fr,sad,triste
336,translate_eng_fr,fast,rapide
337,translate_eng_fr,slow,lent
338,translate_eng_fr,strong,fort
339,translate_eng_fr,weak,faible
340,translate_eng_fr,beautiful,beau
341,translate_eng_fr,ugly,laid
342,translate_eng_fr,young,jeune
343,translate_eng_fr,rich,riche
344,translate_eng_fr,poor,pauvre
345,translate_eng_fr,clean,propre
346,translate_eng_fr,dirty,sale
347,translate_eng_fr,easy,facile
348,translate_eng_fr,difficult,difficile
349,translate_eng_fr,long,long
350,translate_eng_fr,short,court
351,translate_eng_fr,high,haut
352,translate_eng_fr,low,bas
353,translate_eng_fr,wide,large
354,translate_eng_fr,narrow,étroit
355,translate_eng_fr,heavy,lourd
356,translate_eng_fr,light,léger
357,translate_eng_fr,full,plein
358,translate_eng_fr,empty,vide
359,translate_eng_fr,right,droit
360,translate_eng_fr,left,gauche
361,translate_eng_fr,up,haut
362,translate_eng_fr,down,bas
363,translate_eng_fr,inside,dedans
364,translate_eng_fr,outside,dehors
365,translate_eng_fr,front,devant
366,translate_eng_fr,back,derrière
367,translate_eng_fr,near,près
368,translate_eng_fr,far,loin
369,translate_eng_fr,first,premier
370,translate_eng_fr,last,dernier
371,translate_eng_fr,open,ouvert
372,translate_eng_fr,closed,fermé
373,translate_eng_fr,one,un
374,translate_eng_fr,two,deux
375,translate_eng_fr,three,trois
376,translate_eng_fr,four,quatre
377,translate_eng_fr,five,cinq
378,translate_eng_fr,six,six
379,translate_eng_fr,seven,sept
380,translate_eng_fr,eight,huit
381,translate_eng_fr,nine,neuf
382,translate_eng_fr,ten,dix
383,translate_eng_fr,hundred,cent
384,translate_eng_fr,thousand,mille
385,translate_eng_fr,brother,frère
386,translate_eng_fr,sister,sœur
387,translate_eng_fr,father,père
388,translate_eng_fr,mother,mère
389,translate_eng_fr,son,fils
390,translate_eng_fr,daughter,fille
391,translate_eng_fr,husband,mari
392,translate_eng_fr,wife,femme
393,translate_eng_fr,grandfather,grand-père
394,translate_eng_fr,grandmother,grand-mère
395,translate_eng_fr,uncle,oncle
396,translate_eng_fr,aunt,tante
397,translate_eng_fr,cousin,cousin
398,translate_eng_fr,king,roi
399,translate_eng_fr,queen,reine
400,translate_eng_fr,prince,prince
401,translate_eng_fr,princess,princesse
402,translate_eng_fr,man,homme
403,translate_eng_fr,woman,femme
404,translate_eng_fr,boy,garçon
405,translate_eng_fr,girl,fille
406,translate_eng_fr,baby,bébé
407,translate_eng_fr,doctor,médecin
408,translate_eng_fr,nurse,infirmière
409,translate_eng_fr,lawyer,avocat
410,translate_eng_fr,police,police
411,translate_eng_fr,soldier,soldat
412,translate_eng_fr,farmer,fermier
413,translate_eng_fr,worker,ouvrier
414,translate_eng_fr,artist,artiste
415,translate_eng_fr,musician,musicien
416,translate_fr_eng,bonjour,hello
417,translate_fr_eng,au revoir,goodbye
418,translate_fr_eng,merci,thank you
419,translate_fr_eng,s'il vous plaît,please
420,translate_fr_eng,oui,yes
421,translate_fr_eng,non,no
422,translate_fr_eng,eau,water
423,translate_fr_eng,maison,house
424,translate_fr_eng,chat,cat
425,translate_fr_eng,chien,dog
426,translate_fr_eng,bonsoir,good evening
427,translate_fr_eng,bonne nuit,good night
428,translate_fr_eng,comment allez-vous,how are you
429,translate_fr_eng,je t'aime,I love you
430,translate_fr_eng,ami,friend
431,translate_fr_eng,famille,family
432,translate_fr_eng,nourriture,food
433,translate_fr_eng,livre,book
434,translate_fr_eng,voiture,car
435,translate_fr_eng,arbre,tree
436,translate_fr_eng,fleur,flower
437,translate_fr_eng,soleil,sun
438,translate_fr_eng,lune,moon
439,translate_fr_eng,étoile,star
440,translate_fr_eng,pain,bread
441,translate_fr_eng,fromage,cheese
442,translate_fr_eng,vin,wine
443,translate_fr_eng,café,coffee
444,translate_fr_eng,thé,tea
445,translate_fr_eng,lait,milk
446,translate_fr_eng,sucre,sugar
447,translate_fr_eng,sel,salt
448,translate_fr_eng,poivre,pepper
449,translate_fr_eng,chaise,chair
450,translate_fr_eng,porte,door
451,translate_fr_eng,fenêtre,window
452,translate_fr_eng,rue,street
453,translate_fr_eng,ville,city
454,translate_fr_eng,pays,country
455,translate_fr_eng,monde,world
456,translate_fr_eng,temps,time
457,translate_fr_eng,jour,day
458,translate_fr_eng,nuit,night
459,translate_fr_eng,semaine,week
460,translate_fr_eng,mois,month
461,translate_fr_eng,an,year
462,translate_fr_eng,aujourd'hui,today
463,translate_fr_eng,demain,tomorrow
464,translate_fr_eng,hier,yesterday
465,translate_fr_eng,enfant,child
466,translate_fr_eng,école,school
467,translate_fr_eng,étudiant,student
468,translate_fr_eng,professeur,teacher
469,translate_fr_eng,pomme,apple
470,translate_fr_eng,poisson,fish
471,translate_fr_eng,oiseau,bird
472,translate_fr_eng,cheval,horse
473,translate_fr_eng,lettre,letter
474,translate_fr_eng,mot,word
475,translate_fr_eng,phrase,sentence
476,translate_fr_eng,musique,music
477,translate_fr_eng,chanson,song
478,translate_fr_eng,danse,dance
479,translate_fr_eng,jeu,game
480,translate_fr_eng,balle,ball
481,translate_fr_eng,main,hand
482,translate_fr_eng,pied,foot
483,translate_fr_eng,tête,head
484,translate_fr_eng,œil,eye
485,translate_fr_eng,oreille,ear
486,translate_fr_eng,nez,nose
487,translate_fr_eng,bouche,mouth
488,translate_fr_eng,cœur,heart
489,translate_fr_eng,cerveau,brain
490,translate_fr_eng,corps,body
491,translate_fr_eng,rouge,red
492,translate_fr_eng,bleu,blue
493,translate_fr_eng,vert,green
494,translate_fr_eng,jaune,yellow
495,translate_fr_eng,noir,black
496,translate_fr_eng,blanc,white
497,translate_fr_eng,violet,purple
498,translate_fr_eng,rose,pink
499,translate_fr_eng,gris,gray
500,translate_fr_eng,marron,brown
501,translate_fr_eng,grand,big
502,translate_fr_eng,petit,small
503,translate_fr_eng,chaud,hot
504,translate_fr_eng,froid,cold
505,translate_fr_eng,nouveau,new
506,translate_fr_eng,vieux,old
507,translate_fr_eng,bon,good
508,translate_fr_eng,mauvais,bad
509,translate_fr_eng,heureux,happy
510,translate_fr_eng,triste,sad
511,translate_fr_eng,rapide,fast
512,translate_fr_eng,lent,slow
513,translate_fr_eng,fort,strong
514,translate_fr_eng,faible,weak
515,translate_fr_eng,beau,beautiful
516,translate_fr_eng,laid,ugly
517,translate_fr_eng,jeune,young
518,translate_fr_eng,riche,rich
519,translate_fr_eng,pauvre,poor
520,translate_fr_eng,propre,clean
521,translate_fr_eng,sale,dirty
522,translate_fr_eng,facile,easy
523,translate_fr_eng,difficile,difficult
524,translate_fr_eng,long,long
525,translate_fr_eng,court,short
526,translate_fr_eng,haut,high
527,translate_fr_eng,bas,low
528,translate_fr_eng,large,wide
529,translate_fr_eng,étroit,narrow
530,translate_fr_eng,lourd,heavy
531,translate_fr_eng,léger,light
532,translate_fr_eng,plein,full
533,translate_fr_eng,vide,empty
534,translate_fr_eng,droit,right
535,translate_fr_eng,gauche,left
536,translate_fr_eng,haut,up
537,translate_fr_eng,bas,down
538,translate_fr_eng,dedans,inside
539,translate_fr_eng,dehors,outside
540,translate_fr_eng,devant,front
541,translate_fr_eng,derrière,back
542,translate_fr_eng,près,near
543,translate_fr_eng,loin,far
544,translate_fr_eng,premier,first
545,translate_fr_eng,dernier,last
546,translate_fr_eng,ouvert,open
547,translate_fr_eng,fermé,closed
548,translate_fr_eng,un,one
549,translate_fr_eng,deux,two
550,translate_fr_eng,trois,three
551,translate_fr_eng,quatre,four
552,translate_fr_eng,cinq,five
553,translate_fr_eng,six,six
554,translate_fr_eng,sept,seven
555,translate_fr_eng,huit,eight
556,translate_fr_eng,neuf,nine
557,translate_fr_eng,dix,ten
558,translate_fr_eng,cent,hundred
559,translate_fr_eng,mille,thousand
560,translate_fr_eng,frère,brother
561,translate_fr_eng,sœur,sister
562,translate_fr_eng,père,father
563,translate_fr_eng,mère,mother
564,translate_fr_eng,fils,son
565,translate_fr_eng,fille,daughter
566,translate_fr_eng,mari,husband
567,translate_fr_eng,femme,wife
568,translate_fr_eng,grand-père,grandfather
569,translate_fr_eng,grand-mère,grandmother
570,translate_fr_eng,oncle,uncle
571,translate_fr_eng,tante,aunt
572,translate_fr_eng,cousin,cousin
573,translate_fr_eng,roi,king
574,translate_fr_eng,reine,queen
575,translate_fr_eng,prince,prince
576,translate_fr_eng,princesse,princess
577,translate_fr_eng,homme,man
578,translate_fr_eng,femme,woman
579,translate_fr_eng,garçon,boy
580,translate_fr_eng,fille,girl
581,translate_fr_eng,bébé,baby
582,translate_fr_eng,médecin,doctor
583,translate_fr_eng,infirmière,nurse
584,translate_fr_eng,avocat,lawyer
585,translate_fr_eng,police,police
586,translate_fr_eng,soldat,soldier
587,translate_fr_eng,fermier,farmer
588,translate_fr_eng,ouvrier,worker
589,translate_fr_eng,artiste,artist
590,translate_fr_eng,musicien,musician
591,translate_sp_eng,hola,hello
592,translate_sp_eng,adiós,goodbye
593,translate_sp_eng,gracias,thank you
594,translate_sp_eng,por favor,please
595,translate_sp_eng,sí,yes
596,translate_sp_eng,agua,water
597,translate_sp_eng,casa,house
598,translate_sp_eng,gato,cat
599,translate_sp_eng,perro,dog
600,translate_sp_eng,buenos días,good morning
601,translate_sp_eng,buenas tardes,good evening
602,translate_sp_eng,buenas noches,good night
603,translate_sp_eng,cómo estás,how are you
604,translate_sp_eng,te quiero,I love you
605,translate_sp_eng,amigo,friend
606,translate_sp_eng,familia,family
607,translate_sp_eng,comida,food
608,translate_sp_eng,libro,book
609,translate_sp_eng,coche,car
610,translate_sp_eng,árbol,tree
611,translate_sp_eng,flor,flower
612,translate_sp_eng,sol,sun
613,translate_sp_eng,luna,moon
614,translate_sp_eng,estrella,star
615,translate_sp_eng,pan,bread
616,translate_sp_eng,queso,cheese
617,translate_sp_eng,vino,wine
618,translate_sp_eng,té,tea
619,translate_sp_eng,leche,milk
620,translate_sp_eng,azúcar,sugar
621,translate_sp_eng,sal,salt
622,translate_sp_eng,pimienta,pepper
623,translate_sp_eng,mesa,table
624,translate_sp_eng,silla,chair
625,translate_sp_eng,puerta,door
626,translate_sp_eng,ventana,window
627,translate_sp_eng,calle,street
628,translate_sp_eng,ciudad,city
629,translate_sp_eng,país,country
630,translate_sp_eng,mundo,world
631,translate_sp_eng,tiempo,time
632,translate_sp_eng,día,day
633,translate_sp_eng,noche,night
634,translate_sp_eng,semana,week
635,translate_sp_eng,mes,month
636,translate_sp_eng,año,year
637,translate_sp_eng,hoy,today
638,translate_sp_eng,mañana,tomorrow
639,translate_sp_eng,ayer,yesterday
640,translate_sp_eng,niño,child
641,translate_sp_eng,escuela,school
642,translate_sp_eng,estudiante,student
643,translate_sp_eng,profesor,teacher
644,translate_sp_eng,manzana,apple
645,translate_sp_eng,naranja,orange
646,translate_sp_eng,pez,fish
647,translate_sp_eng,pájaro,bird
648,translate_sp_eng,caballo,horse
649,translate_sp_eng,carta,letter
650,translate_sp_eng,palabra,word
651,translate_sp_eng,frase,sentence
652,translate_sp_eng,página,page
653,translate_sp_eng,música,music
654,translate_sp_eng,canción,song
655,translate_sp_eng,baile,dance
656,translate_sp_eng,juego,game
657,translate_sp_eng,deporte,sport
658,translate_sp_eng,pelota,ball
659,translate_sp_eng,mano,hand
660,translate_sp_eng,pie,foot
661,translate_sp_eng,cabeza,head
662,translate_sp_eng,ojo,eye
663,translate_sp_eng,oreja,ear
664,translate_sp_eng,nariz,nose
665,translate_sp_eng,boca,mouth
666,translate_sp_eng,corazón,heart
667,translate_sp_eng,cerebro,brain
668,translate_sp_eng,cuerpo,body
669,translate_sp_eng,rojo,red
670,translate_sp_eng,azul,blue
671,translate_sp_eng,verde,green
672,translate_sp_eng,amarillo,yellow
673,translate_sp_eng,negro,black
674,translate_sp_eng,blanco,white
675,translate_sp_eng,morado,purple
676,translate_sp_eng,rosa,pink
677,translate_sp_eng,gris,gray
678,translate_sp_eng,marrón,brown
679,translate_sp_eng,grande,big
680,translate_sp_eng,pequeño,small
681,translate_sp_eng,caliente,hot
682,translate_sp_eng,frío,cold
683,translate_sp_eng,nuevo,new
684,translate_sp_eng,viejo,old
685,translate_sp_eng,bueno,good
686,translate_sp_eng,malo,bad
687,translate_sp_eng,feliz,happy
688,translate_sp_eng,triste,sad
689,translate_sp_eng,rápido,fast
690,translate_sp_eng,lento,slow
691,translate_sp_eng,fuerte,strong
692,translate_sp_eng,débil,weak
693,translate_sp_eng,hermoso,beautiful
694,translate_sp_eng,feo,ugly
695,translate_sp_eng,joven,young
696,translate_sp_eng,rico,rich
697,translate_sp_eng,pobre,poor
698,translate_sp_eng,limpio,clean
699,translate_sp_eng,sucio,dirty
700,translate_sp_eng,fácil,easy
701,translate_sp_eng,difícil,difficult
702,translate_sp_eng,largo,long
703,translate_sp_eng,corto,short
704,translate_sp_eng,alto,high
705,translate_sp_eng,bajo,low
706,translate_sp_eng,ancho,wide
707,translate_sp_eng,estrecho,narrow
708,translate_sp_eng,pesado,heavy
709,translate_sp_eng,ligero,light
710,translate_sp_eng,lleno,full
711,translate_sp_eng,vacío,empty
712,translate_sp_eng,derecho,right
713,translate_sp_eng,izquierdo,left
714,translate_sp_eng,arriba,up
715,translate_sp_eng,abajo,down
716,translate_sp_eng,dentro,inside
717,translate_sp_eng,fuera,outside
718,translate_sp_eng,frente,front
719,translate_sp_eng,atrás,back
720,translate_sp_eng,cerca,near
721,translate_sp_eng,lejos,far
722,translate_sp_eng,primero,first
723,translate_sp_eng,último,last
724,translate_sp_eng,abierto,open
725,translate_sp_eng,cerrado,closed
726,translate_sp_eng,uno,one
727,translate_sp_eng,dos,two
728,translate_sp_eng,tres,three
729,translate_sp_eng,cuatro,four
730,translate_sp_eng,cinco,five
731,translate_sp_eng,seis,six
732,translate_sp_eng,siete,seven
733,translate_sp_eng,ocho,eight
734,translate_sp_eng,nueve,nine
735,translate_sp_eng,diez,ten
736,translate_sp_eng,cien,hundred
737,translate_sp_eng,mil,thousand
738,translate_sp_eng,hermano,brother
739,translate_sp_eng,hermana,sister
740,translate_sp_eng,padre,father
741,translate_sp_eng,madre,mother
742,translate_sp_eng,hijo,son
743,translate_sp_eng,hija,daughter
744,translate_sp_eng,esposo,husband
745,translate_sp_eng,esposa,wife
746,translate_sp_eng,abuelo,grandfather
747,translate_sp_eng,abuela,grandmother
748,translate_sp_eng,tío,uncle
749,translate_sp_eng,tía,aunt
750,translate_sp_eng,primo,cousin
751,translate_sp_eng,rey,king
752,translate_sp_eng,reina,queen
753,translate_sp_eng,príncipe,prince
754,translate_sp_eng,princesa,princess
755,translate_sp_eng,hombre,man
756,translate_sp_eng,mujer,woman
757,translate_sp_eng,niña,girl
758,translate_sp_eng,bebé,baby
759,translate_sp_eng,médico,doctor
760,translate_sp_eng,enfermera,nurse
761,translate_sp_eng,abogado,lawyer
762,translate_sp_eng,policía,police
763,translate_sp_eng,soldado,soldier
764,translate_sp_eng,granjero,farmer
765,translate_sp_eng,trabajador,worker
766,translate_sp_eng,artista,artist
767,translate_sp_eng,músico,musician
768,translate_sp_eng,cantante,singer
769,present_to_gerund,run,running
770,present_to_gerund,swim,swimming
771,present_to_gerund,walk,walking
772,present_to_gerund,jump,jumping
773,present_to_gerund,dance,dancing
774,present_to_gerund,sing,singing
775,present_to_gerund,read,reading
776,present_to_gerund,write,writing
777,present_to_gerund,sleep,sleeping
778,present_to_gerund,eat,eating
779,present_to_gerund,drink,drinking
780,present_to_gerund,talk,talking
781,present_to_gerund,listen,listening
782,present_to_gerund,think,thinking
783,present_to_gerund,work,working
784,present_to_gerund,play,playing
785,present_to_gerund,study,studying
786,present_to_gerund,learn,learning
787,present_to_gerund,teach,teaching
788,present_to_gerund,build,building
789,present_to_gerund,create,creating
790,present_to_gerund,paint,painting
791,present_to_gerund,draw,drawing
792,present_to_gerund,cook,cooking
793,present_to_gerund,bake,baking
794,present_to_gerund,clean,cleaning
795,present_to_gerund,wash,washing
796,present_to_gerund,drive,driving
797,present_to_gerund,fly,flying
798,present_to_gerund,sail,sailing
799,present_to_gerund,climb,climbing
800,present_to_gerund,hike,hiking
801,present_to_gerund,bike,biking
