input,output,category_name,operations
kosovo,OVOSOK,upper_reverse,uppercase+reverse
kuwait,TIAWUK,upper_reverse,uppercase+reverse
kyrgyzstan,NATSZYGRYK,upper_reverse,uppercase+reverse
laos,SOAL,upper_reverse,uppercase+reverse
latvia,AIVTAL,upper_reverse,uppercase+reverse
lebanon,NONABEL,upper_reverse,uppercase+reverse
lesotho,OHTOSEL,upper_reverse,uppercase+reverse
liberia,AIREBIL,upper_reverse,uppercase+reverse
libya,AYBIL,upper_reverse,uppercase+reverse
liechtenstein,NIETSNETHCEIL,upper_reverse,uppercase+reverse
lithuania,AINAUHTIL,upper_reverse,uppercase+reverse
luxembourg,GRUOBMEXUL,upper_reverse,uppercase+reverse
madagascar,RACSAGADAM,upper_reverse,uppercase+reverse
malawi,IWALAM,upper_reverse,uppercase+reverse
malaysia,AISYALAM,upper_reverse,uppercase+reverse
maldives,SEVIDLAM,upper_reverse,uppercase+reverse
mali,ILAM,upper_reverse,uppercase+reverse
malta,ATLAM,upper_reverse,uppercase+reverse
mauritania,AINATIRUAM,upper_reverse,uppercase+reverse
mauritius,SUITIRUAM,upper_reverse,uppercase+reverse
mexico,OCIXEM,upper_reverse,uppercase+reverse
micronesia,AISENORCIM,upper_reverse,uppercase+reverse
moldova,AVODLOM,upper_reverse,uppercase+reverse
monaco,OCANOM,upper_reverse,uppercase+reverse
mongolia,AILOGNOM,upper_reverse,uppercase+reverse
montenegro,ORGENETNOM,upper_reverse,uppercase+reverse
morocco,OCCOROM,upper_reverse,uppercase+reverse
mozambique,EUQIBMAZOM,upper_reverse,uppercase+reverse
myanmar,RAMNAYM,upper_reverse,uppercase+reverse
namibia,AIBIMAN,upper_reverse,uppercase+reverse
nauru,URUAN,upper_reverse,uppercase+reverse
nepal,LAPEN,upper_reverse,uppercase+reverse
netherlands,SDNALREHTEN,upper_reverse,uppercase+reverse
nicaragua,AUGARACIN,upper_reverse,uppercase+reverse
niger,REGIN,upper_reverse,uppercase+reverse
nigeria,AIREGIN,upper_reverse,uppercase+reverse
norway,YAWRON,upper_reverse,uppercase+reverse
oman,NAMO,upper_reverse,uppercase+reverse
pakistan,NATSIKAP,upper_reverse,uppercase+reverse
palau,UALAP,upper_reverse,uppercase+reverse
palestine,ENITSELAP,upper_reverse,uppercase+reverse
panama,AMANAP,upper_reverse,uppercase+reverse
paraguay,YAUGARAP,upper_reverse,uppercase+reverse
peru,UREP,upper_reverse,uppercase+reverse
philippines,SENIPPILIHP,upper_reverse,uppercase+reverse
poland,DNALOP,upper_reverse,uppercase+reverse
portugal,LAGUTROP,upper_reverse,uppercase+reverse
qatar,RATAQ,upper_reverse,uppercase+reverse
romania,AINAMOR,upper_reverse,uppercase+reverse
russia,AISSUR,upper_reverse,uppercase+reverse
rwanda,ADNAWR,upper_reverse,uppercase+reverse
samoa,AOMAS,upper_reverse,uppercase+reverse
senegal,LAGENES,upper_reverse,uppercase+reverse
serbia,AIBRES,upper_reverse,uppercase+reverse
seychelles,SELLEHCYES,upper_reverse,uppercase+reverse
singapore,EROPAGNIS,upper_reverse,uppercase+reverse
slovakia,AIKAVOLS,upper_reverse,uppercase+reverse
slovenia,AINEVOLS,upper_reverse,uppercase+reverse
somalia,AILAMOS,upper_reverse,uppercase+reverse
spain,NIAPS,upper_reverse,uppercase+reverse
sudan,NADUS,upper_reverse,uppercase+reverse
suriname,EMANIRUS,upper_reverse,uppercase+reverse
sweden,NEDEWS,upper_reverse,uppercase+reverse
switzerland,DNALREZTIWS,upper_reverse,uppercase+reverse
syria,AIRYS,upper_reverse,uppercase+reverse
taiwan,NAWIAT,upper_reverse,uppercase+reverse
tajikistan,NATSIKIJAT,upper_reverse,uppercase+reverse
tanzania,AINAZNAT,upper_reverse,uppercase+reverse
thailand,DNALIAHT,upper_reverse,uppercase+reverse
togo,OGOT,upper_reverse,uppercase+reverse
tonga,AGNOT,upper_reverse,uppercase+reverse
tunisia,AISINUT,upper_reverse,uppercase+reverse
turkey,YEKRUT,upper_reverse,uppercase+reverse
turkmenistan,NATSINEMKRUT,upper_reverse,uppercase+reverse
tuvalu,ULAVUT,upper_reverse,uppercase+reverse
uae,EAU,upper_reverse,uppercase+reverse
uganda,ADNAGU,upper_reverse,uppercase+reverse
ukraine,ENIARKU,upper_reverse,uppercase+reverse
uruguay,YAUGURU,upper_reverse,uppercase+reverse
uzbekistan,NATSIKEBZU,upper_reverse,uppercase+reverse
vanuatu,UTAUNAV,upper_reverse,uppercase+reverse
venezuela,ALEUZENEV,upper_reverse,uppercase+reverse
vietnam,MANTEIV,upper_reverse,uppercase+reverse
yemen,NEMEY,upper_reverse,uppercase+reverse
zambia,AIBMAZ,upper_reverse,uppercase+reverse
zimbabwe,EWBABMIZ,upper_reverse,uppercase+reverse
abajo,OJABA,upper_reverse,uppercase+reverse
abierto,OTREIBA,upper_reverse,uppercase+reverse
abogado,ODAGOBA,upper_reverse,uppercase+reverse
abuela,ALEUBA,upper_reverse,uppercase+reverse
abuelo,OLEUBA,upper_reverse,uppercase+reverse
accelerate,ETARELECCA,upper_reverse,uppercase+reverse
achieve,EVEIHCA,upper_reverse,uppercase+reverse
activate,ETAVITCA,upper_reverse,uppercase+reverse
actor,ROTCA,upper_reverse,uppercase+reverse
actress,SSERTCA,upper_reverse,uppercase+reverse
adiós,SÓIDA,upper_reverse,uppercase+reverse
advertise,ESITREVDA,upper_reverse,uppercase+reverse
agua,AUGA,upper_reverse,uppercase+reverse
alto,OTLA,upper_reverse,uppercase+reverse
amarillo,OLLIRAMA,upper_reverse,uppercase+reverse
ami,IMA,upper_reverse,uppercase+reverse
amigo,OGIMA,upper_reverse,uppercase+reverse
an,NA,upper_reverse,uppercase+reverse
analysis,SISYLANA,upper_reverse,uppercase+reverse
ancho,OHCNA,upper_reverse,uppercase+reverse
anticipate,ETAPICITNA,upper_reverse,uppercase+reverse
apologize,EZIGOLOPA,upper_reverse,uppercase+reverse
apple,ELPPA,upper_reverse,uppercase+reverse
appreciate,ETAICERPPA,upper_reverse,uppercase+reverse
arbre,ERBRA,upper_reverse,uppercase+reverse
argue,EUGRA,upper_reverse,uppercase+reverse
arm,MRA,upper_reverse,uppercase+reverse
arriba,ABIRRA,upper_reverse,uppercase+reverse
arrive,EVIRRA,upper_reverse,uppercase+reverse
artery,YRETRA,upper_reverse,uppercase+reverse
artist,TSITRA,upper_reverse,uppercase+reverse
artista,ATSITRA,upper_reverse,uppercase+reverse
artiste,ETSITRA,upper_reverse,uppercase+reverse
atrás,SÁRTA,upper_reverse,uppercase+reverse
aunt,TNUA,upper_reverse,uppercase+reverse
avocat,TACOVA,upper_reverse,uppercase+reverse
axis,SIXA,upper_reverse,uppercase+reverse
ayer,REYA,upper_reverse,uppercase+reverse
azul,LUZA,upper_reverse,uppercase+reverse
azúcar,RACÚZA,upper_reverse,uppercase+reverse
año,OÑA,upper_reverse,uppercase+reverse
baby,YBAB,upper_reverse,uppercase+reverse
back,KCAB,upper_reverse,uppercase+reverse
bad,DAB,upper_reverse,uppercase+reverse
baile,ELIAB,upper_reverse,uppercase+reverse
bajo,OJAB,upper_reverse,uppercase+reverse
bake,EKAB,upper_reverse,uppercase+reverse
baker,REKAB,upper_reverse,uppercase+reverse
ball,LLAB,upper_reverse,uppercase+reverse
balle,ELLAB,upper_reverse,uppercase+reverse
banana,ANANAB,upper_reverse,uppercase+reverse
bas,SAB,upper_reverse,uppercase+reverse
basis,SISAB,upper_reverse,uppercase+reverse
bay,YAB,upper_reverse,uppercase+reverse
beach,HCAEB,upper_reverse,uppercase+reverse
beau,UAEB,upper_reverse,uppercase+reverse
beautiful,LUFITUAEB,upper_reverse,uppercase+reverse
bebé,ÉBEB,upper_reverse,uppercase+reverse
begin,NIGEB,upper_reverse,uppercase+reverse
belief,FEILEB,upper_reverse,uppercase+reverse
believe,EVEILEB,upper_reverse,uppercase+reverse
bend,DNEB,upper_reverse,uppercase+reverse
berry,YRREB,upper_reverse,uppercase+reverse
big,GIB,upper_reverse,uppercase+reverse
bike,EKIB,upper_reverse,uppercase+reverse
bird,DRIB,upper_reverse,uppercase+reverse
black,KCALB,upper_reverse,uppercase+reverse
blanc,CNALB,upper_reverse,uppercase+reverse
blanco,OCNALB,upper_reverse,uppercase+reverse
bleu,UELB,upper_reverse,uppercase+reverse
blue,EULB,upper_reverse,uppercase+reverse
boca,ACOB,upper_reverse,uppercase+reverse
body,YDOB,upper_reverse,uppercase+reverse
bon,NOB,upper_reverse,uppercase+reverse
bone,ENOB,upper_reverse,uppercase+reverse
bonjour,RUOJNOB,upper_reverse,uppercase+reverse
bonsoir,RIOSNOB,upper_reverse,uppercase+reverse
book,KOOB,upper_reverse,uppercase+reverse
bouche,EHCUOB,upper_reverse,uppercase+reverse
box,XOB,upper_reverse,uppercase+reverse
boy,YOB,upper_reverse,uppercase+reverse
brain,NIARB,upper_reverse,uppercase+reverse
bread,DAERB,upper_reverse,uppercase+reverse
brother,REHTORB,upper_reverse,uppercase+reverse
brown,NWORB,upper_reverse,uppercase+reverse
brush,HSURB,upper_reverse,uppercase+reverse
bueno,ONEUB,upper_reverse,uppercase+reverse
build,DLIUB,upper_reverse,uppercase+reverse
builder,REDLIUB,upper_reverse,uppercase+reverse
bus,SUB,upper_reverse,uppercase+reverse
butcher,REHCTUB,upper_reverse,uppercase+reverse
butterfly,YLFRETTUB,upper_reverse,uppercase+reverse
bébé,ÉBÉB,upper_reverse,uppercase+reverse
caballo,OLLABAC,upper_reverse,uppercase+reverse
cabeza,AZEBAC,upper_reverse,uppercase+reverse
café,ÉFAC,upper_reverse,uppercase+reverse
calculate,ETALUCLAC,upper_reverse,uppercase+reverse
calf,FLAC,upper_reverse,uppercase+reverse
caliente,ETNEILAC,upper_reverse,uppercase+reverse
calle,ELLAC,upper_reverse,uppercase+reverse
camp,PMAC,upper_reverse,uppercase+reverse
canción,NÓICNAC,upper_reverse,uppercase+reverse
cantante,ETNATNAC,upper_reverse,uppercase+reverse
car,RAC,upper_reverse,uppercase+reverse
care,ERAC,upper_reverse,uppercase+reverse
cargo,OGRAC,upper_reverse,uppercase+reverse
carry,YRRAC,upper_reverse,uppercase+reverse
carta,ATRAC,upper_reverse,uppercase+reverse
casa,ASAC,upper_reverse,uppercase+reverse
cat,TAC,upper_reverse,uppercase+reverse
catch,HCTAC,upper_reverse,uppercase+reverse
celebrate,ETARBELEC,upper_reverse,uppercase+reverse
cent,TNEC,upper_reverse,uppercase+reverse
cerca,ACREC,upper_reverse,uppercase+reverse
cerebro,ORBEREC,upper_reverse,uppercase+reverse
cerrado,ODARREC,upper_reverse,uppercase+reverse
cerveau,UAEVREC,upper_reverse,uppercase+reverse
chair,RIAHC,upper_reverse,uppercase+reverse
chaise,ESIAHC,upper_reverse,uppercase+reverse
change,EGNAHC,upper_reverse,uppercase+reverse
chanson,NOSNAHC,upper_reverse,uppercase+reverse
chat,TAHC,upper_reverse,uppercase+reverse
chaud,DUAHC,upper_reverse,uppercase+reverse
cheese,ESEEHC,upper_reverse,uppercase+reverse
chef,FEHC,upper_reverse,uppercase+reverse
cheval,LAVEHC,upper_reverse,uppercase+reverse
chief,FEIHC,upper_reverse,uppercase+reverse
chien,NEIHC,upper_reverse,uppercase+reverse
child,DLIHC,upper_reverse,uppercase+reverse
church,HCRUHC,upper_reverse,uppercase+reverse
cien,NEIC,upper_reverse,uppercase+reverse
cinco,OCNIC,upper_reverse,uppercase+reverse
cinq,QNIC,upper_reverse,uppercase+reverse
city,YTIC,upper_reverse,uppercase+reverse
ciudad,DADUIC,upper_reverse,uppercase+reverse
class,SSALC,upper_reverse,uppercase+reverse
clean,NAELC,upper_reverse,uppercase+reverse
clerk,KRELC,upper_reverse,uppercase+reverse
cliff,FFILC,upper_reverse,uppercase+reverse
climb,BMILC,upper_reverse,uppercase+reverse
close,ESOLC,upper_reverse,uppercase+reverse
closed,DESOLC,upper_reverse,uppercase+reverse
coche,EHCOC,upper_reverse,uppercase+reverse
coffee,EEFFOC,upper_reverse,uppercase+reverse
cold,DLOC,upper_reverse,uppercase+reverse
come,EMOC,upper_reverse,uppercase+reverse
comida,ADIMOC,upper_reverse,uppercase+reverse
communicate,ETACINUMMOC,upper_reverse,uppercase+reverse
compete,ETEPMOC,upper_reverse,uppercase+reverse
complete,ETELPMOC,upper_reverse,uppercase+reverse
computer,RETUPMOC,upper_reverse,uppercase+reverse
concentrate,ETARTNECNOC,upper_reverse,uppercase+reverse
contemplate,ETALPMETNOC,upper_reverse,uppercase+reverse
continue,EUNITNOC,upper_reverse,uppercase+reverse
cook,KOOC,upper_reverse,uppercase+reverse
cooperate,ETAREPOOC,upper_reverse,uppercase+reverse
coordinate,ETANIDROOC,upper_reverse,uppercase+reverse
corazón,NÓZAROC,upper_reverse,uppercase+reverse
corps,SPROC,upper_reverse,uppercase+reverse
corto,OTROC,upper_reverse,uppercase+reverse
country,YRTNUOC,upper_reverse,uppercase+reverse
court,TRUOC,upper_reverse,uppercase+reverse
cousin,NISUOC,upper_reverse,uppercase+reverse
create,ETAERC,upper_reverse,uppercase+reverse
crisis,SISIRC,upper_reverse,uppercase+reverse
criterion,NOIRETIRC,upper_reverse,uppercase+reverse
criticize,EZICITIRC,upper_reverse,uppercase+reverse
cry,YRC,upper_reverse,uppercase+reverse
cuatro,ORTAUC,upper_reverse,uppercase+reverse
cuerpo,OPREUC,upper_reverse,uppercase+reverse
cultivate,ETAVITLUC,upper_reverse,uppercase+reverse
cup,PUC,upper_reverse,uppercase+reverse
curriculum,MULUCIRRUC,upper_reverse,uppercase+reverse
cœur,RUŒC,upper_reverse,uppercase+reverse
dance,ECNAD,upper_reverse,uppercase+reverse
dancer,RECNAD,upper_reverse,uppercase+reverse
danse,ESNAD,upper_reverse,uppercase+reverse
datum,MUTAD,upper_reverse,uppercase+reverse
daughter,RETHGUAD,upper_reverse,uppercase+reverse
day,YAD,upper_reverse,uppercase+reverse
decide,EDICED,upper_reverse,uppercase+reverse
decorate,ETAROCED,upper_reverse,uppercase+reverse
dedans,SNADED,upper_reverse,uppercase+reverse
dedicate,ETACIDED,upper_reverse,uppercase+reverse
deer,REED,upper_reverse,uppercase+reverse
defeat,TAEFED,upper_reverse,uppercase+reverse
dehors,SROHED,upper_reverse,uppercase+reverse
delete,ETELED,upper_reverse,uppercase+reverse
demain,NIAMED,upper_reverse,uppercase+reverse
demonstrate,ETARTSNOMED,upper_reverse,uppercase+reverse
dentro,ORTNED,upper_reverse,uppercase+reverse
deporte,ETROPED,upper_reverse,uppercase+reverse
derecho,OHCERED,upper_reverse,uppercase+reverse
dernier,REINRED,upper_reverse,uppercase+reverse
derrière,ERÈIRRED,upper_reverse,uppercase+reverse
designate,ETANGISED,upper_reverse,uppercase+reverse
determine,ENIMRETED,upper_reverse,uppercase+reverse
deux,XUED,upper_reverse,uppercase+reverse
devant,TNAVED,upper_reverse,uppercase+reverse
deviate,ETAIVED,upper_reverse,uppercase+reverse
diez,ZEID,upper_reverse,uppercase+reverse
difficile,ELICIFFID,upper_reverse,uppercase+reverse
difficult,TLUCIFFID,upper_reverse,uppercase+reverse
difícil,LICÍFID,upper_reverse,uppercase+reverse
director,ROTCERID,upper_reverse,uppercase+reverse
dirty,YTRID,upper_reverse,uppercase+reverse
dish,HSID,upper_reverse,uppercase+reverse
dix,XID,upper_reverse,uppercase+reverse
doctor,ROTCOD,upper_reverse,uppercase+reverse
dog,GOD,upper_reverse,uppercase+reverse
dominate,ETANIMOD,upper_reverse,uppercase+reverse
door,ROOD,upper_reverse,uppercase+reverse
dos,SOD,upper_reverse,uppercase+reverse
down,NWOD,upper_reverse,uppercase+reverse
draw,WARD,upper_reverse,uppercase+reverse
drink,KNIRD,upper_reverse,uppercase+reverse
drive,EVIRD,upper_reverse,uppercase+reverse
driver,REVIRD,upper_reverse,uppercase+reverse
droit,TIORD,upper_reverse,uppercase+reverse
duchess,SSEHCUD,upper_reverse,uppercase+reverse
duke,EKUD,upper_reverse,uppercase+reverse
dwarf,FRAWD,upper_reverse,uppercase+reverse
débil,LIBÉD,upper_reverse,uppercase+reverse
día,AÍD,upper_reverse,uppercase+reverse
ear,RAE,upper_reverse,uppercase+reverse
easy,YSAE,upper_reverse,uppercase+reverse
eat,TAE,upper_reverse,uppercase+reverse
eau,UAE,upper_reverse,uppercase+reverse
echo,OHCE,upper_reverse,uppercase+reverse
educate,ETACUDE,upper_reverse,uppercase+reverse
eight,THGIE,upper_reverse,uppercase+reverse
elf,FLE,upper_reverse,uppercase+reverse
eliminate,ETANIMILE,upper_reverse,uppercase+reverse
emperor,ROREPME,upper_reverse,uppercase+reverse
empress,SSERPME,upper_reverse,uppercase+reverse
empty,YTPME,upper_reverse,uppercase+reverse
end,DNE,upper_reverse,uppercase+reverse
enfant,TNAFNE,upper_reverse,uppercase+reverse
enfermera,AREMREFNE,upper_reverse,uppercase+reverse
engineer,REENIGNE,upper_reverse,uppercase+reverse
escalate,ETALACSE,upper_reverse,uppercase+reverse
escuela,ALEUCSE,upper_reverse,uppercase+reverse
esposa,ASOPSE,upper_reverse,uppercase+reverse
esposo,OSOPSE,upper_reverse,uppercase+reverse
estrecho,OHCERTSE,upper_reverse,uppercase+reverse
estrella,ALLERTSE,upper_reverse,uppercase+reverse
estudiante,ETNAIDUTSE,upper_reverse,uppercase+reverse
evaluate,ETAULAVE,upper_reverse,uppercase+reverse
evaporate,ETAROPAVE,upper_reverse,uppercase+reverse
exaggerate,ETAREGGAXE,upper_reverse,uppercase+reverse
examine,ENIMAXE,upper_reverse,uppercase+reverse
excite,ETICXE,upper_reverse,uppercase+reverse
exercise,ESICREXE,upper_reverse,uppercase+reverse
explore,EROLPXE,upper_reverse,uppercase+reverse
eye,EYE,upper_reverse,uppercase+reverse
facile,ELICAF,upper_reverse,uppercase+reverse
faible,ELBIAF,upper_reverse,uppercase+reverse
familia,AILIMAF,upper_reverse,uppercase+reverse
famille,ELLIMAF,upper_reverse,uppercase+reverse
family,YLIMAF,upper_reverse,uppercase+reverse
far,RAF,upper_reverse,uppercase+reverse
farmer,REMRAF,upper_reverse,uppercase+reverse
fascinate,ETANICSAF,upper_reverse,uppercase+reverse
fast,TSAF,upper_reverse,uppercase+reverse
father,REHTAF,upper_reverse,uppercase+reverse
feel,LEEF,upper_reverse,uppercase+reverse
feliz,ZILEF,upper_reverse,uppercase+reverse
femme,EMMEF,upper_reverse,uppercase+reverse
fenêtre,ERTÊNEF,upper_reverse,uppercase+reverse
feo,OEF,upper_reverse,uppercase+reverse
fermier,REIMREF,upper_reverse,uppercase+reverse
fermé,ÉMREF,upper_reverse,uppercase+reverse
fille,ELLIF,upper_reverse,uppercase+reverse
fils,SLIF,upper_reverse,uppercase+reverse
finger,REGNIF,upper_reverse,uppercase+reverse
finish,HSINIF,upper_reverse,uppercase+reverse
first,TSRIF,upper_reverse,uppercase+reverse
fish,HSIF,upper_reverse,uppercase+reverse
five,EVIF,upper_reverse,uppercase+reverse
fleur,RUELF,upper_reverse,uppercase+reverse
flor,ROLF,upper_reverse,uppercase+reverse
flower,REWOLF,upper_reverse,uppercase+reverse
fly,YLF,upper_reverse,uppercase+reverse
food,DOOF,upper_reverse,uppercase+reverse
foot,TOOF,upper_reverse,uppercase+reverse
fork,KROF,upper_reverse,uppercase+reverse
fort,TROF,upper_reverse,uppercase+reverse
four,RUOF,upper_reverse,uppercase+reverse
fox,XOF,upper_reverse,uppercase+reverse
frase,ESARF,upper_reverse,uppercase+reverse
frente,ETNERF,upper_reverse,uppercase+reverse
friend,DNEIRF,upper_reverse,uppercase+reverse
froid,DIORF,upper_reverse,uppercase+reverse
fromage,EGAMORF,upper_reverse,uppercase+reverse
front,TNORF,upper_reverse,uppercase+reverse
frère,ERÈRF,upper_reverse,uppercase+reverse
frío,OÍRF,upper_reverse,uppercase+reverse
fuera,AREUF,upper_reverse,uppercase+reverse
fuerte,ETREUF,upper_reverse,uppercase+reverse
full,LLUF,upper_reverse,uppercase+reverse
fácil,LICÁF,upper_reverse,uppercase+reverse
game,EMAG,upper_reverse,uppercase+reverse
garçon,NOÇRAG,upper_reverse,uppercase+reverse
gato,OTAG,upper_reverse,uppercase+reverse
gauche,EHCUAG,upper_reverse,uppercase+reverse
generate,ETARENEG,upper_reverse,uppercase+reverse
girl,LRIG,upper_reverse,uppercase+reverse
give,EVIG,upper_reverse,uppercase+reverse
glass,SSALG,upper_reverse,uppercase+reverse
good,DOOG,upper_reverse,uppercase+reverse
goodbye,EYBDOOG,upper_reverse,uppercase+reverse
goose,ESOOG,upper_reverse,uppercase+reverse
gracias,SAICARG,upper_reverse,uppercase+reverse
grand,DNARG,upper_reverse,uppercase+reverse
grande,EDNARG,upper_reverse,uppercase+reverse
grandfather,REHTAFDNARG,upper_reverse,uppercase+reverse
grandmother,REHTOMDNARG,upper_reverse,uppercase+reverse
granjero,OREJNARG,upper_reverse,uppercase+reverse
gray,YARG,upper_reverse,uppercase+reverse
green,NEERG,upper_reverse,uppercase+reverse
greet,TEERG,upper_reverse,uppercase+reverse
grief,FEIRG,upper_reverse,uppercase+reverse
gris,SIRG,upper_reverse,uppercase+reverse
gulf,FLUG,upper_reverse,uppercase+reverse
guy,YUG,upper_reverse,uppercase+reverse
half,FLAH,upper_reverse,uppercase+reverse
hand,DNAH,upper_reverse,uppercase+reverse
happy,YPPAH,upper_reverse,uppercase+reverse
hate,ETAH,upper_reverse,uppercase+reverse
haut,TUAH,upper_reverse,uppercase+reverse
head,DAEH,upper_reverse,uppercase+reverse
hear,RAEH,upper_reverse,uppercase+reverse
heart,TRAEH,upper_reverse,uppercase+reverse
heavy,YVAEH,upper_reverse,uppercase+reverse
hello,OLLEH,upper_reverse,uppercase+reverse
help,PLEH,upper_reverse,uppercase+reverse
hermana,ANAMREH,upper_reverse,uppercase+reverse
hermano,ONAMREH,upper_reverse,uppercase+reverse
hermoso,OSOMREH,upper_reverse,uppercase+reverse
hero,OREH,upper_reverse,uppercase+reverse
heroine,ENIOREH,upper_reverse,uppercase+reverse
hesitate,ETATISEH,upper_reverse,uppercase+reverse
heureux,XUERUEH,upper_reverse,uppercase+reverse
hibernate,ETANREBIH,upper_reverse,uppercase+reverse
hier,REIH,upper_reverse,uppercase+reverse
high,HGIH,upper_reverse,uppercase+reverse
hija,AJIH,upper_reverse,uppercase+reverse
hijo,OJIH,upper_reverse,uppercase+reverse
hike,EKIH,upper_reverse,uppercase+reverse
hola,ALOH,upper_reverse,uppercase+reverse
hold,DLOH,upper_reverse,uppercase+reverse
hombre,ERBMOH,upper_reverse,uppercase+reverse
homme,EMMOH,upper_reverse,uppercase+reverse
hoof,FOOH,upper_reverse,uppercase+reverse
hope,EPOH,upper_reverse,uppercase+reverse
horse,ESROH,upper_reverse,uppercase+reverse
hot,TOH,upper_reverse,uppercase+reverse
house,ESUOH,upper_reverse,uppercase+reverse
hoy,YOH,upper_reverse,uppercase+reverse
huit,TIUH,upper_reverse,uppercase+reverse
hundred,DERDNUH,upper_reverse,uppercase+reverse
hunt,TNUH,upper_reverse,uppercase+reverse
husband,DNABSUH,upper_reverse,uppercase+reverse
illustrate,ETARTSULLI,upper_reverse,uppercase+reverse
imagine,ENIGAMI,upper_reverse,uppercase+reverse
imitate,ETATIMI,upper_reverse,uppercase+reverse
improve,EVORPMI,upper_reverse,uppercase+reverse
incorporate,ETAROPROCNI,upper_reverse,uppercase+reverse
infirmière,ERÈIMRIFNI,upper_reverse,uppercase+reverse
initiate,ETAITINI,upper_reverse,uppercase+reverse
innovate,ETAVONNI,upper_reverse,uppercase+reverse
inside,EDISNI,upper_reverse,uppercase+reverse
integrate,ETARGETNI,upper_reverse,uppercase+reverse
